date;annee;mois;jour;jour_semaine;saison;jour_ferie;temperature_C;humidite_pct;vitesse_vent_kmh;production_totale_MWh;ventes_totales_MWh;ventes_BT_MWh;ventes_MT_MWh;ventes_HT_MWh;pointe_max_mois_MW;taux_thermique_pct;taux_renouvelable_pct;nb_clients;prix_moyen_FCFA_kWh;conso_J_moins_1;conso_J_moins_7;conso_mois_precedent
02/02/2022;2022;2;2;3;Saison_fraiche;0;22.2;65.5;19.1;12790.13;10526.35;6378.09;2699.94;1033.87;679;78.6;21.4;2198624;110.18;13300.69;11542.77;11844.82
03/02/2022;2022;2;3;4;Saison_fraiche;0;19.9;70.4;22.1;12661.42;10420.42;6313.91;2672.77;1023.47;679;78.6;21.4;2198624;110.18;12790.13;13103.14;11486.45
04/02/2022;2022;2;4;5;Saison_fraiche;0;20.4;66.4;16.5;13682.82;11261.04;6823.25;2888.38;1106.03;679;78.6;21.4;2198624;110.18;12661.42;11390.79;11426.37
05/02/2022;2022;2;5;6;Saison_fraiche;0;22.5;74.5;19.4;11793.54;9706.15;5881.12;2489.56;953.31;679;78.6;21.4;2198624;110.18;13682.82;11193.15;12833.75
06/02/2022;2022;2;6;7;Saison_fraiche;0;22.5;71.9;16.4;11980.35;9859.9;5974.28;2529.0;968.41;679;78.6;21.4;2198624;110.18;11793.54;11758.58;11476.21
07/02/2022;2022;2;7;1;Saison_fraiche;0;23.0;69.5;19.7;13945.06;11476.86;6954.03;2943.74;1127.23;679;78.6;21.4;2198624;110.18;11980.35;13253.38;10784.03
08/02/2022;2022;2;8;2;Saison_fraiche;0;20.6;69.2;17.6;13450.15;11069.55;6707.23;2839.27;1087.22;679;78.6;21.4;2198624;110.18;13945.06;13300.69;11632.8
09/02/2022;2022;2;9;3;Saison_fraiche;0;25.7;70.4;20.3;13697.8;11273.36;6830.72;2891.54;1107.24;679;78.6;21.4;2198624;110.18;13450.15;12790.13;11664.04
10/02/2022;2022;2;10;4;Saison_fraiche;0;20.1;71.9;17.4;13798.72;11356.42;6881.05;2912.85;1115.4;679;78.6;21.4;2198624;110.18;13697.8;12661.42;12472.03
11/02/2022;2022;2;11;5;Saison_fraiche;0;23.9;70.1;22.8;14459.19;11900.0;7210.41;3052.27;1168.79;679;78.6;21.4;2198624;110.18;13798.72;13682.82;11449.82
12/02/2022;2022;2;12;6;Saison_fraiche;0;21.5;64.2;17.4;11966.08;9848.15;5967.16;2525.99;967.26;679;78.6;21.4;2198624;110.18;14459.19;11793.54;12536.61
13/02/2022;2022;2;13;7;Saison_fraiche;0;21.8;69.7;20.7;12604.45;10373.53;6285.5;2660.74;1018.86;679;78.6;21.4;2198624;110.18;11966.08;11980.35;12466.13
14/02/2022;2022;2;14;1;Saison_fraiche;0;22.0;75.3;24.4;13449.31;11068.86;6706.81;2839.09;1087.15;679;78.6;21.4;2198624;110.18;12604.45;13945.06;11106.78
15/02/2022;2022;2;15;2;Saison_fraiche;0;23.3;63.7;20.0;13276.61;10926.72;6620.69;2802.63;1073.19;679;78.6;21.4;2198624;110.18;13449.31;13450.15;10594.79
16/02/2022;2022;2;16;3;Saison_fraiche;0;21.6;71.6;18.9;13763.51;11327.44;6863.49;2905.42;1112.55;679;78.6;21.4;2198624;110.18;13276.61;13697.8;12513.07
17/02/2022;2022;2;17;4;Saison_fraiche;0;20.3;60.4;20.7;12993.95;10694.1;6479.74;2742.97;1050.35;679;78.6;21.4;2198624;110.18;13763.51;13798.72;12555.08
18/02/2022;2022;2;18;5;Saison_fraiche;0;22.4;61.8;19.8;13773.37;11335.56;6868.41;2907.5;1113.35;679;78.6;21.4;2198624;110.18;12993.95;14459.19;10941.57
19/02/2022;2022;2;19;6;Saison_fraiche;0;20.2;68.8;16.7;12180.49;10024.61;6074.08;2571.25;984.59;679;78.6;21.4;2198624;110.18;13773.37;11966.08;12325.11
20/02/2022;2022;2;20;7;Saison_fraiche;0;22.7;70.8;21.1;13190.99;10856.26;6577.99;2784.56;1066.27;679;78.6;21.4;2198624;110.18;12180.49;12604.45;12883.79
21/02/2022;2022;2;21;1;Saison_fraiche;0;19.2;63.3;20.0;13263.12;10915.62;6613.96;2799.79;1072.1;679;78.6;21.4;2198624;110.18;13190.99;13449.31;11381.24
22/02/2022;2022;2;22;2;Saison_fraiche;0;23.0;87.3;21.3;14122.01;11622.49;7042.26;2981.09;1141.53;679;78.6;21.4;2198624;110.18;13263.12;13276.61;11110.65
23/02/2022;2022;2;23;3;Saison_fraiche;0;23.9;71.3;20.5;13822.34;11375.86;6892.83;2917.83;1117.31;679;78.6;21.4;2198624;110.18;14122.01;13763.51;11784.61
24/02/2022;2022;2;24;4;Saison_fraiche;0;20.5;66.8;19.2;13015.27;10711.64;6490.36;2747.47;1052.07;679;78.6;21.4;2198624;110.18;13822.34;12993.95;12359.47
25/02/2022;2022;2;25;5;Saison_fraiche;0;26.6;58.7;15.8;14975.44;12324.87;7467.85;3161.25;1210.52;679;78.6;21.4;2198624;110.18;13015.27;13773.37;11542.77
26/02/2022;2022;2;26;6;Saison_fraiche;0;21.1;73.4;16.8;12360.68;10172.9;6163.94;2609.28;999.16;679;78.6;21.4;2198624;110.18;14975.44;12180.49;13103.14
27/02/2022;2022;2;27;7;Saison_fraiche;0;20.6;71.4;19.4;11873.44;9771.91;5920.97;2506.43;959.77;679;78.6;21.4;2198624;110.18;12360.68;13190.99;11390.79
28/02/2022;2022;2;28;1;Saison_fraiche;0;22.1;64.7;20.3;14782.12;12165.77;7371.45;3120.44;1194.89;679;78.6;21.4;2198624;110.18;11873.44;13263.12;11193.15
01/03/2022;2022;3;1;2;Saison_seche_chaude;0;19.9;70.9;19.7;11643.59;9582.74;5806.35;2457.91;941.19;684;78.6;21.4;2198624;110.18;14782.12;14122.01;11758.58
02/03/2022;2022;3;2;3;Saison_seche_chaude;0;22.4;69.4;19.7;12697.26;10449.91;6331.78;2680.33;1026.36;684;78.6;21.4;2198624;110.18;11643.59;13822.34;13253.38
03/03/2022;2022;3;3;4;Saison_seche_chaude;0;21.6;68.3;16.7;12056.96;9922.94;6012.48;2545.17;974.61;684;78.6;21.4;2198624;110.18;12697.26;13015.27;13300.69
04/03/2022;2022;3;4;5;Saison_seche_chaude;0;27.5;72.0;19.8;12758.93;10500.67;6362.53;2693.35;1031.35;684;78.6;21.4;2198624;110.18;12056.96;14975.44;12790.13
05/03/2022;2022;3;5;6;Saison_seche_chaude;0;28.2;75.2;17.0;11727.9;9652.13;5848.39;2475.71;948.01;684;78.6;21.4;2198624;110.18;12758.93;12360.68;12661.42
06/03/2022;2022;3;6;7;Saison_seche_chaude;0;26.5;66.5;19.5;12399.24;10204.64;6183.16;2617.42;1002.27;684;78.6;21.4;2198624;110.18;11727.9;11873.44;13682.82
07/03/2022;2022;3;7;1;Saison_seche_chaude;0;22.1;69.7;16.0;10781.52;8873.25;5376.45;2275.93;871.51;684;78.6;21.4;2198624;110.18;12399.24;14782.12;11793.54
08/03/2022;2022;3;8;2;Saison_seche_chaude;0;23.5;63.8;15.1;13486.17;11099.2;6725.19;2846.87;1090.13;684;78.6;21.4;2198624;110.18;10781.52;11643.59;11980.35
09/03/2022;2022;3;9;3;Saison_seche_chaude;0;23.1;70.7;15.1;13307.2;10951.9;6635.94;2809.09;1075.67;684;78.6;21.4;2198624;110.18;13486.17;12697.26;13945.06
10/03/2022;2022;3;10;4;Saison_seche_chaude;0;26.3;70.1;18.9;12685.12;10439.92;6325.73;2677.77;1025.38;684;78.6;21.4;2198624;110.18;13307.2;12056.96;13450.15
11/03/2022;2022;3;11;5;Saison_seche_chaude;0;24.4;67.0;17.2;12870.22;10592.26;6418.03;2716.85;1040.34;684;78.6;21.4;2198624;110.18;12685.12;12758.93;13697.8
12/03/2022;2022;3;12;6;Saison_seche_chaude;0;24.2;73.3;15.5;12518.71;10302.97;6242.74;2642.64;1011.93;684;78.6;21.4;2198624;110.18;12870.22;11727.9;13798.72
13/03/2022;2022;3;13;7;Saison_seche_chaude;0;28.3;60.2;19.2;12428.74;10228.92;6197.88;2623.65;1004.66;684;78.6;21.4;2198624;110.18;12518.71;12399.24;14459.19
14/03/2022;2022;3;14;1;Saison_seche_chaude;0;24.6;66.9;17.0;12766.07;10506.55;6366.1;2694.86;1031.93;684;78.6;21.4;2198624;110.18;12428.74;10781.52;11966.08
15/03/2022;2022;3;15;2;Saison_seche_chaude;0;22.8;74.2;16.6;12702.41;10454.15;6334.35;2681.42;1026.78;684;78.6;21.4;2198624;110.18;12766.07;13486.17;12604.45
16/03/2022;2022;3;16;3;Saison_seche_chaude;0;25.8;71.5;19.3;13532.5;11137.33;6748.3;2856.65;1093.88;684;78.6;21.4;2198624;110.18;12702.41;13307.2;13449.31
17/03/2022;2022;3;17;4;Saison_seche_chaude;0;22.3;67.2;19.2;12797.88;10532.73;6381.96;2701.58;1034.5;684;78.6;21.4;2198624;110.18;13532.5;12685.12;13276.61
18/03/2022;2022;3;18;5;Saison_seche_chaude;0;24.0;70.6;16.8;13408.63;11035.38;6686.52;2830.5;1083.87;684;78.6;21.4;2198624;110.18;12797.88;12870.22;13763.51
19/03/2022;2022;3;19;6;Saison_seche_chaude;0;25.1;69.0;20.2;11828.84;9735.2;5898.72;2497.02;956.17;684;78.6;21.4;2198624;110.18;13408.63;12518.71;12993.95
20/03/2022;2022;3;20;7;Saison_seche_chaude;0;25.7;74.1;18.0;12668.69;10426.4;6317.54;2674.3;1024.05;684;78.6;21.4;2198624;110.18;11828.84;12428.74;13773.37
21/03/2022;2022;3;21;1;Saison_seche_chaude;0;25.4;68.4;17.7;13197.59;10861.69;6581.28;2785.95;1066.81;684;78.6;21.4;2198624;110.18;12668.69;12766.07;12180.49
22/03/2022;2022;3;22;2;Saison_seche_chaude;0;24.2;73.0;22.2;12376.75;10186.14;6171.95;2612.68;1000.46;684;78.6;21.4;2198624;110.18;13197.59;12702.41;13190.99
23/03/2022;2022;3;23;3;Saison_seche_chaude;0;22.0;63.9;19.6;12941.1;10650.6;6453.38;2731.81;1046.07;684;78.6;21.4;2198624;110.18;12376.75;13532.5;13263.12
24/03/2022;2022;3;24;4;Saison_seche_chaude;0;25.2;73.1;16.2;12983.44;10685.44;6474.49;2740.75;1049.5;684;78.6;21.4;2198624;110.18;12941.1;12797.88;14122.01
25/03/2022;2022;3;25;5;Saison_seche_chaude;0;24.2;66.6;17.7;13294.62;10941.55;6629.67;2806.44;1074.65;684;78.6;21.4;2198624;110.18;12983.44;13408.63;13822.34
26/03/2022;2022;3;26;6;Saison_seche_chaude;0;22.3;68.4;16.9;11621.15;9564.27;5795.15;2453.17;939.38;684;78.6;21.4;2198624;110.18;13294.62;11828.84;13015.27
27/03/2022;2022;3;27;7;Saison_seche_chaude;0;22.4;71.2;17.0;11562.39;9515.91;5765.85;2440.77;934.63;684;78.6;21.4;2198624;110.18;11621.15;12668.69;14975.44
28/03/2022;2022;3;28;1;Saison_seche_chaude;0;23.1;71.2;15.2;11853.06;9755.13;5910.8;2502.13;958.12;684;78.6;21.4;2198624;110.18;11562.39;13197.59;12360.68
29/03/2022;2022;3;29;2;Saison_seche_chaude;0;22.6;68.9;21.0;12639.98;10402.77;6303.22;2668.24;1021.73;684;78.6;21.4;2198624;110.18;11853.06;12376.75;11873.44
30/03/2022;2022;3;30;3;Saison_seche_chaude;0;25.7;69.2;16.0;13076.98;10762.42;6521.14;2760.49;1057.06;684;78.6;21.4;2198624;110.18;12639.98;12941.1;14782.12
31/03/2022;2022;3;31;4;Saison_seche_chaude;0;24.0;68.6;16.3;12921.35;10634.35;6443.53;2727.64;1044.48;684;78.6;21.4;2198624;110.18;13076.98;12983.44;11643.59
01/04/2022;2022;4;1;5;Saison_seche_chaude;0;27.0;79.7;16.8;16212.16;13342.7;8084.57;3422.32;1310.49;808;78.6;21.4;2198624;110.18;12921.35;13294.62;12697.26
02/04/2022;2022;4;2;6;Saison_seche_chaude;0;27.4;70.0;16.0;15202.69;12511.89;7581.17;3209.22;1228.89;808;78.6;21.4;2198624;110.18;16212.16;11621.15;12056.96
03/04/2022;2022;4;3;7;Saison_seche_chaude;0;26.2;68.1;17.0;14820.35;12197.23;7390.51;3128.51;1197.98;808;78.6;21.4;2198624;110.18;15202.69;11562.39;12758.93
04/04/2022;2022;4;4;1;Saison_seche_chaude;1;28.9;76.8;14.5;15448.55;14957.93;9063.27;3836.61;1469.13;808;78.6;21.4;2198624;110.18;14820.35;11853.06;11727.9
05/04/2022;2022;4;5;2;Saison_seche_chaude;0;27.7;72.9;14.4;17889.79;14723.4;8921.16;3776.46;1446.09;808;78.6;21.4;2198624;110.18;15448.55;12639.98;12399.24
06/04/2022;2022;4;6;3;Saison_seche_chaude;0;24.3;69.0;14.9;14313.8;11780.34;7137.91;3021.58;1157.03;808;78.6;21.4;2198624;110.18;17889.79;13076.98;10781.52
07/04/2022;2022;4;7;4;Saison_seche_chaude;0;24.5;72.8;19.8;15904.66;13089.62;7931.23;3357.4;1285.63;808;78.6;21.4;2198624;110.18;14313.8;12921.35;13486.17
08/04/2022;2022;4;8;5;Saison_seche_chaude;0;27.9;69.1;17.0;15903.59;13088.74;7930.69;3357.18;1285.54;808;78.6;21.4;2198624;110.18;15904.66;16212.16;13307.2
09/04/2022;2022;4;9;6;Saison_seche_chaude;0;23.4;81.2;15.1;14864.67;12233.7;7412.61;3137.86;1201.56;808;78.6;21.4;2198624;110.18;15903.59;15202.69;12685.12
10/04/2022;2022;4;10;7;Saison_seche_chaude;1;22.6;78.8;18.5;11862.78;11486.04;6959.59;2946.1;1128.13;808;78.6;21.4;2198624;110.18;14864.67;14820.35;12870.22
11/04/2022;2022;4;11;1;Saison_seche_chaude;0;22.8;69.0;16.1;15290.26;12583.96;7624.84;3227.7;1235.96;808;78.6;21.4;2198624;110.18;11862.78;15448.55;12518.71
12/04/2022;2022;4;12;2;Saison_seche_chaude;0;25.1;75.1;15.7;15156.33;12473.74;7558.05;3199.43;1225.14;808;78.6;21.4;2198624;110.18;15290.26;17889.79;12428.74
13/04/2022;2022;4;13;3;Saison_seche_chaude;0;26.2;74.6;13.8;16551.38;13621.88;8253.73;3493.92;1337.91;808;78.6;21.4;2198624;110.18;15156.33;14313.8;12766.07
14/04/2022;2022;4;14;4;Saison_seche_chaude;0;22.9;78.4;14.5;15514.28;12768.34;7736.55;3275.0;1254.07;808;78.6;21.4;2198624;110.18;16551.38;15904.66;12702.41
15/04/2022;2022;4;15;5;Saison_seche_chaude;0;29.1;72.6;16.1;17572.57;14462.32;8762.96;3709.49;1420.45;808;78.6;21.4;2198624;110.18;15514.28;15903.59;13532.5
16/04/2022;2022;4;16;6;Saison_seche_chaude;0;30.1;80.8;17.9;15500.74;12757.19;7729.8;3272.14;1252.98;808;78.6;21.4;2198624;110.18;17572.57;14864.67;12797.88
17/04/2022;2022;4;17;7;Saison_seche_chaude;0;27.3;78.8;17.4;14465.09;11904.85;7213.35;3053.52;1169.26;808;78.6;21.4;2198624;110.18;15500.74;11862.78;13408.63
18/04/2022;2022;4;18;1;Saison_seche_chaude;0;28.1;63.2;11.9;15760.82;12971.24;7859.5;3327.04;1274.0;808;78.6;21.4;2198624;110.18;14465.09;15290.26;11828.84
19/04/2022;2022;4;19;2;Saison_seche_chaude;0;25.5;75.6;16.1;16884.44;13895.99;8419.82;3564.23;1364.83;808;78.6;21.4;2198624;110.18;15760.82;15156.33;12668.69
20/04/2022;2022;4;20;3;Saison_seche_chaude;0;29.3;65.1;15.9;15681.79;12906.2;7820.09;3310.36;1267.61;808;78.6;21.4;2198624;110.18;16884.44;16551.38;13197.59
21/04/2022;2022;4;21;4;Saison_seche_chaude;0;26.8;71.8;15.8;14892.93;12256.96;7426.7;3143.83;1203.85;808;78.6;21.4;2198624;110.18;15681.79;15514.28;12376.75
22/04/2022;2022;4;22;5;Saison_seche_chaude;0;23.4;75.3;14.1;15655.58;12884.63;7807.02;3304.82;1265.5;808;78.6;21.4;2198624;110.18;14892.93;17572.57;12941.1
23/04/2022;2022;4;23;6;Saison_seche_chaude;0;25.0;66.7;17.9;14507.57;11939.81;7234.54;3062.48;1172.7;808;78.6;21.4;2198624;110.18;15655.58;15500.74;12983.44
24/04/2022;2022;4;24;7;Saison_seche_chaude;0;24.0;74.5;14.4;14022.02;11540.2;6992.4;2959.99;1133.45;808;78.6;21.4;2198624;110.18;14507.57;14465.09;13294.62
25/04/2022;2022;4;25;1;Saison_seche_chaude;0;25.8;66.8;13.6;15644.14;12875.21;7801.31;3302.41;1264.57;808;78.6;21.4;2198624;110.18;14022.02;15760.82;11621.15
26/04/2022;2022;4;26;2;Saison_seche_chaude;0;29.9;72.2;16.4;16495.69;13576.04;8225.95;3482.17;1333.4;808;78.6;21.4;2198624;110.18;15644.14;16884.44;11562.39
27/04/2022;2022;4;27;3;Saison_seche_chaude;0;25.8;70.9;17.5;16391.47;13490.27;8173.98;3460.17;1324.98;808;78.6;21.4;2198624;110.18;16495.69;15681.79;11853.06
28/04/2022;2022;4;28;4;Saison_seche_chaude;0;24.9;69.1;11.4;15611.36;12848.23;7784.96;3295.49;1261.92;808;78.6;21.4;2198624;110.18;16391.47;14892.93;12639.98
29/04/2022;2022;4;29;5;Saison_seche_chaude;0;23.0;78.8;15.5;16343.46;13450.76;8150.05;3450.03;1321.1;808;78.6;21.4;2198624;110.18;15611.36;15655.58;13076.98
30/04/2022;2022;4;30;6;Saison_seche_chaude;0;27.2;73.6;18.2;16874.28;13887.62;8414.75;3562.08;1364.01;808;78.6;21.4;2198624;110.18;16343.46;14507.57;12921.35
01/05/2022;2022;5;1;7;Saison_seche_chaude;1;26.7;70.2;15.4;12432.32;12037.49;7293.72;3087.54;1182.29;875;78.6;21.4;2198624;110.18;16874.28;14022.02;16212.16
02/05/2022;2022;5;2;1;Saison_seche_chaude;0;25.5;67.9;12.8;16259.93;13382.01;8108.39;3432.4;1314.35;875;78.6;21.4;2198624;110.18;12432.32;15644.14;15202.69
03/05/2022;2022;5;3;2;Saison_seche_chaude;0;30.4;79.4;18.0;17903.61;14734.77;8928.05;3779.37;1447.21;875;78.6;21.4;2198624;110.18;16259.93;16495.69;14820.35
04/05/2022;2022;5;4;3;Saison_seche_chaude;0;27.2;70.7;16.1;18156.76;14943.12;9054.29;3832.81;1467.67;875;78.6;21.4;2198624;110.18;17903.61;16391.47;15448.55
05/05/2022;2022;5;5;4;Saison_seche_chaude;0;24.9;74.0;12.2;15963.12;13137.73;7960.38;3369.74;1290.35;875;78.6;21.4;2198624;110.18;18156.76;15611.36;17889.79
06/05/2022;2022;5;6;5;Saison_seche_chaude;0;28.9;84.5;16.1;16555.51;13625.28;8255.79;3494.8;1338.24;875;78.6;21.4;2198624;110.18;15963.12;16343.46;14313.8
07/05/2022;2022;5;7;6;Saison_seche_chaude;0;25.7;72.6;13.3;15037.05;12375.58;7498.57;3174.26;1215.5;875;78.6;21.4;2198624;110.18;16555.51;16874.28;15904.66
08/05/2022;2022;5;8;7;Saison_seche_chaude;0;27.1;70.8;14.9;15892.18;13079.36;7925.0;3354.77;1284.62;875;78.6;21.4;2198624;110.18;15037.05;12432.32;15903.59
09/05/2022;2022;5;9;1;Saison_seche_chaude;1;26.5;70.5;16.5;14066.91;13620.17;8252.69;3493.49;1337.74;875;78.6;21.4;2198624;110.18;15892.18;16259.93;14864.67
10/05/2022;2022;5;10;2;Saison_seche_chaude;0;28.0;70.1;16.5;17381.69;14305.22;8667.78;3669.2;1405.02;875;78.6;21.4;2198624;110.18;14066.91;17903.61;11862.78
11/05/2022;2022;5;11;3;Saison_seche_chaude;0;23.7;77.7;16.1;15813.75;13014.8;7885.89;3338.21;1278.28;875;78.6;21.4;2198624;110.18;17381.69;18156.76;15290.26
12/05/2022;2022;5;12;4;Saison_seche_chaude;0;25.5;66.0;15.1;15604.97;12842.97;7781.78;3294.14;1261.4;875;78.6;21.4;2198624;110.18;15813.75;15963.12;15156.33
13/05/2022;2022;5;13;5;Saison_seche_chaude;0;27.5;70.5;11.7;17627.7;14507.7;8790.46;3721.13;1424.91;875;78.6;21.4;2198624;110.18;15604.97;16555.51;16551.38
14/05/2022;2022;5;14;6;Saison_seche_chaude;0;26.9;68.9;15.1;15267.64;12565.35;7613.56;3222.93;1234.14;875;78.6;21.4;2198624;110.18;17627.7;15037.05;15514.28
15/05/2022;2022;5;15;7;Saison_seche_chaude;0;25.3;73.1;13.8;15926.84;13107.88;7942.29;3362.09;1287.42;875;78.6;21.4;2198624;110.18;15267.64;15892.18;17572.57
16/05/2022;2022;5;16;1;Saison_seche_chaude;0;28.7;69.4;17.9;17857.44;14696.77;8905.02;3769.63;1443.48;875;78.6;21.4;2198624;110.18;15926.84;14066.91;15500.74
17/05/2022;2022;5;17;2;Saison_seche_chaude;0;22.1;71.0;14.6;16212.47;13342.95;8084.72;3422.38;1310.51;875;78.6;21.4;2198624;110.18;17857.44;17381.69;14465.09
18/05/2022;2022;5;18;3;Saison_seche_chaude;0;27.7;72.0;14.7;17298.05;14236.39;8626.07;3651.54;1398.26;875;78.6;21.4;2198624;110.18;16212.47;15813.75;15760.82
19/05/2022;2022;5;19;4;Saison_seche_chaude;0;29.3;76.3;14.2;17874.12;14710.5;8913.34;3773.15;1444.83;875;78.6;21.4;2198624;110.18;17298.05;15604.97;16884.44
